City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text,Aggregate rating
Faridabad,"North Indian, Continental, Chinese",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.3
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
Noida,"Mithai, Street Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Desserts, North Indian",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Mughlai",0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.5
Noida,Cafe,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Ojo Caliente,"American, International, Southwestern",0.0,Dollar($),No,No,No,No,1.0,Yellow,Good,3.6
Tampa Bay,"Mexican, Vegetarian",0.0,Dollar($),No,No,No,No,0.0,Dark Green,Excellent,4.5
Gurgaon,"Continental, Finger Food",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.4
New Delhi,South Indian,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.6
New Delhi,North Indian,0.5555555555555556,Indian Rupees(Rs.),Yes,No,No,No,1.0,White,Not rated,0.0
New Delhi,"Bakery, Desserts",0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Orange,Average,3.1
New Delhi,Cafe,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.4
New Delhi,North Indian,0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
S��o Paulo,"Lebanese, Arabian",0.0,Brazilian Real(R$),No,No,No,No,1.0,Green,Very Good,4.1
Gurgaon,"Fast Food, Chinese",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese, Biryani",0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.7
New Delhi,"Italian, Continental, Finger Food",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.3
New Delhi,"Mithai, North Indian, Chinese, Street Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.8
Gurgaon,"Bakery, Desserts, Fast Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
Noida,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Coimbatore,"Continental, Fast Food, Desserts, Indian",0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.8
New Delhi,Street Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.1
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
Gurgaon,"North Indian, Continental, Chinese",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,2.8
New Delhi,Mughlai,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
New Delhi,Chinese,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.6
New Delhi,"Continental, Kerala",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Dark Green,Excellent,4.5
New Delhi,"North Indian, Bengali",1.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,2.7
New Delhi,Mithai,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Green,Very Good,4.1
Augusta,"Italian, Pizza, Sandwich",0.0,Dollar($),No,No,No,No,1.0,Green,Very Good,4.4
New Delhi,Continental,1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Yellow,Good,3.8
Gurgaon,"North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.9
New Delhi,"Italian, Continental, European, Cafe",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.4
New Delhi,"Cafe, Italian, Continental, Chinese",1.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,Green,Very Good,4.4
New Delhi,North Indian,1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Green,Very Good,4.1
New Delhi,"North Indian, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,3.4
New Delhi,"American, Fast Food",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.1
Gurgaon,"North Indian, Mughlai, Chinese",0.6666666666666667,Indian Rupees(Rs.),No,Yes,No,No,1.0,Yellow,Good,3.7
New Delhi,South Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
New Delhi,"Bakery, Desserts",0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.4
Surat,"Lebanese, Italian",0.8888888888888888,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.3
New Delhi,North Indian,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.9
Lucknow,"Continental, North Indian, Asian",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.7
New Delhi,"Pizza, Fast Food",0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.8
New Delhi,Street Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
New Delhi,"North Indian, South Indian",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
New Delhi,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Bakery, Desserts",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
Vadodara,"Italian, Mexican, Continental",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.4
New Delhi,North Indian,0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
New Delhi,"Raw Meats, Fast Food",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
Colombo,"Cafe, Italian",1.0,Sri Lankan Rupee(LKR),No,No,No,No,1.0,Yellow,Good,3.6
Noida,"Raw Meats, Fast Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Noida,North Indian,0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,3.2
Noida,Fast Food,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.8
Gurgaon,"Mughlai, Lucknowi, Awadhi",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.0
Aurangabad,"North Indian, South Indian",0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.4
Noida,"North Indian, Chinese",0.4444444444444444,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,3.4
New Delhi,"North Indian, Mughlai",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Yellow,Good,3.7
New Delhi,Cafe,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.9
Noida,"Pizza, Fast Food",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Red,Poor,2.4
Noida,"South Indian, North Indian, Chinese",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.5
New Delhi,"Spanish, Italian",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Green,Very Good,4.3
Noida,"North Indian, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
Kanpur,"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.0
New Delhi,"Finger Food, Continental, North Indian, Chinese",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.1
New Delhi,Chinese,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,North Indian,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,White,Not rated,0.0
New Delhi,"North Indian, Chinese, South Indian, Street Food, Mithai",0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Red,Poor,2.4
New Delhi,"North Indian, Chinese",0.8888888888888888,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.3
New Delhi,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"American, European",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Green,Very Good,4.2
New Delhi,Cafe,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Middle Eastern, Mediterranean, North Indian",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Orange,Average,3.1
New Delhi,"North Indian, Fast Food",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,Street Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Ghaziabad,"North Indian, Fast Food",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.3
Gurgaon,"Healthy Food, Salad, Italian, Continental",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Yellow,Good,3.9
New Delhi,"North Indian, Mughlai",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.9
New Delhi,"North Indian, Chinese",0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.2
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.7
New Delhi,North Indian,0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.2
New Delhi,Bakery,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Noida,"Salad, Continental",0.5555555555555556,Indian Rupees(Rs.),No,Yes,No,No,1.0,Green,Very Good,4.1
New Delhi,Biryani,0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,White,Not rated,0.0
Noida,"North Indian, Mughlai",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Mithai, Street Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Fast Food, Chinese",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Gurgaon,"American, Fast Food, Salad, Healthy Food",0.5555555555555556,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,3.3
Cedar Rapids/Iowa City,Chinese,0.0,Dollar($),No,No,No,No,0.0,Green,Very Good,4.2
New Delhi,"North Indian, Chinese",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Raw Meats, Fast Food",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Desserts, Street Food",0.0,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,3.3
Bras�_lia,International,0.0,Brazilian Real(R$),No,No,No,No,1.0,Dark Green,Excellent,4.9
New Delhi,Chinese,0.4444444444444444,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,2.9
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Noida,"Cafe, Italian, Continental, Desserts",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good,3.9
New Delhi,"North Indian, Mughlai, Chinese, Fast Food",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,3.4
New Delhi,"Mithai, Street Food, North Indian",0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
London,"Taiwanese, Street Food",0.0,Pounds(��),No,No,No,No,1.0,Dark Green,Excellent,4.9
New Delhi,Fast Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.2
New Delhi,"Biryani, Hyderabadi",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Orange,Average,3.1
New Delhi,"Japanese, Chinese, Asian, Thai",1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Yellow,Good,3.7
Gurgaon,"North Indian, Chinese",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.3
New Delhi,Chinese,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
New Delhi,Bakery,0.0,Indian Rupees(Rs.),No,Yes,No,No,0.0,Yellow,Good,3.5
New Delhi,Street Food,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
New Delhi,Chinese,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
Noida,"Pizza, Fast Food",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Red,Poor,2.3
New Delhi,"Pizza, Fast Food",0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.0
Noida,Cafe,0.8888888888888888,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.3
New Delhi,"North Indian, Chinese, Mughlai",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.8
New Delhi,"North Indian, Chinese",0.6666666666666667,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
New Delhi,"Lebanese, Arabian, Moroccan",1.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,Red,Poor,2.2
Coimbatore,"North Indian, Continental",1.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,Yellow,Good,3.9
New Delhi,"North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.7
New Delhi,North Indian,1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Yellow,Good,3.7
New Delhi,Modern Indian,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.4
Valdosta,"Japanese, Steak, Sushi",0.0,Dollar($),No,No,No,No,1.0,Yellow,Good,3.5
Singapore,"American, Bakery, European, Burger, Fusion",0.0,Dollar($),No,No,No,No,1.0,Yellow,Good,3.8
New Delhi,Mithai,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.5
New Delhi,"Kerala, Biryani",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.9
Noida,Fast Food,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.8
S��o Paulo,Brazilian,0.0,Brazilian Real(R$),No,No,No,No,1.0,Green,Very Good,4.1
New Delhi,"North Indian, Chinese, Finger Food",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average,3.3
New Delhi,Rajasthani,1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Green,Very Good,4.1
Noida,Fast Food,0.2222222222222222,Indian Rupees(Rs.),No,Yes,No,No,0.0,Yellow,Good,3.6
New Delhi,"Raw Meats, Fast Food",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.3
New Delhi,"Chinese, South Indian, North Indian",0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,2.7
New Delhi,"North Indian, Chinese, Continental",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good,3.7
Orlando,"New American, Tapas",0.0,Dollar($),No,No,No,No,1.0,Dark Green,Excellent,4.6
Noida,Desserts,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.4
